Scenario,PropR,Natural Mortality M,Weight at Age,Movement,Selectivity,SteepnessH,GLOBALFMSY,LOCALFMSY,SBMSY_RATIO_TOTAL,MSY_RATIO,GLOBAL_DEPL_TOTAL,LOCAL_DEPL_TOTAL,A1DEPL_LOCAL,A1DEPL_GLOBAL,A2DEPL_LOCAL,A2DEPL_GLOBAL,,"DEPL GLOBAL A1,A2","DEPL LOCAL A1,A2"
Symmetrical Movement,0.5,0.15,Fig. 1K,FILL ME IN,Fig. 1L,"0.7, 0.7","0.27, 0.27","0.27, 0.27",1,1,0.26,0.26,0.264422629,0.264220974,0.264320371,0.264203999,,"0.26, 0.26","0.26, 0.26"
A2 Sink 1,0.5,0.15,Fig. 1K,FILL ME IN,Fig. 1L,"0.7, 0.7","0, 0.29","0, 0.59",1.88,0.8,0.26,0.14,0.019658291,0.023841991,0.326935853,0.529795807,,"0.02, 0.53","0.02, 0.33"
A2 Sink 2,0.5,0.15,Fig. 1K,FILL ME IN,Fig. 1L,"0.7, 0.7","0, 0.3","0, 0.59",1.7,0.81,0.26,0.16,0.04246527,0.051359952,0.328368046,0.503570659,,"0.05, 0.5","0.04, 0.33"
A2 Sink 3,0.5,0.15,Fig. 1K,FILL ME IN,Fig. 1L,"0.7, 0.7","0.03, 0.33","0.02, 0.57",1.43,0.85,0.27,0.19,0.095219938,0.112429224,0.323052881,0.444131455,,"0.11, 0.44","0.1, 0.32"
A2 Sink 4,0.5,0.15,Fig. 1K,FILL ME IN,Fig. 1L,"0.7, 0.7","0.17, 0.32","0.17, 0.43",1.18,0.92,0.26,0.22,0.154356725,0.1821963,0.319817943,0.363941538,,"0.18, 0.36","0.15, 0.32"
BaseCase_A1Sink,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 1L,"0.7, 0.7","0.33, 0.03","0.57, 0.02",1.43,0.85,0.27,0.19,0.323052881,0.444131455,0.095219938,0.112429224,,"0.44, 0.11","0.32, 0.1"
base+A1LowSelex,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 2B,"0.7, 0.7","0.23, 0.28","0.42, 0.04",1.37,0.86,0.28,0.2,0.376612908,0.509551283,0.080150141,0.061160789,,"0.51, 0.06","0.38, 0.08"
base+A1HighSelex,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 2C,"0.7, 0.7","0.42, 0","0.78, 0.01",1.44,0.84,0.25,0.17,0.268691108,0.38617304,0.115264846,0.145472341,,"0.39, 0.15","0.27, 0.12"
base+comboH,0.5,0.15,Fig. 1K,Fig. 1A,Fig. 1L,"0.8, 0.6","0.33, 0.03","0.73, 0",1.47,0.78,0.27,0.18,0.28328066,0.495243169,0.104785239,0.111846341,,"0.5, 0.11","0.28, 0.1"
base+lowHhighM,0.5,0.17,Fig. 1K,Fig. 1A,Fig. 1L,"0.6, 0.6","0.28, 0","0.6, 0",1.62,0.78,0.3,0.19,0.333763841,0.523424747,0.104503124,0.133790554,,"0.52, 0.13","0.33, 0.1"
base+highHlowM,0.5,0.13,Fig. 1K,Fig. 1A,Fig. 1L,"0.8, 0.8","0.38, 0.07","0.55, 0.08",1.31,0.9,0.23,0.17,0.29756012,0.372666685,0.077675309,0.090284024,,"0.37, 0.09","0.3, 0.08"
